100092,江苏省南京市金马路-地铁站,118.912278,32.072949
100093,江苏省南京市汇通路-地铁站,118.936221,32.089645
100094,江苏省南京市灵山-地铁站,109.297478,22.422413
100095,江苏省南京市东流-地铁站,118.969285,32.086543
100096,江苏省南京市孟北-地铁站,118.802422,32.064653
100097,江苏省南京市西岗桦墅-地铁站,119.01935,32.112401
100098,江苏省南京市仙林湖-地铁站,118.994399,32.132637
100099,江苏省南京市空港新城江宁-地铁站,118.894093,31.743628
1000100,江苏省南京市柘塘-地铁站,118.920365,31.76384
1000101,江苏省南京市空港新城溧水-地铁站,118.986859,31.734903
1000102,江苏省南京市群力-地铁站,119.020695,31.740779
1000103,江苏省南京市卧龙湖-地铁站,118.803495,32.046923
1000104,江苏省南京市溧水-地铁站,119.034404,31.657284
1000105,江苏省南京市中山湖-地铁站,119.076161,31.640215
1000106,江苏省南京市幸庄-地铁站,118.802422,32.064653
1000107,江苏省南京市无想山-地铁站,119.022698,31.608239
1000108,江苏省南京市泰山新村-地铁站,118.720285,32.150083
1000109,江苏省南京市泰冯路-地铁站,118.725643,32.164947
1000110,江苏省南京市高新开发区-地铁站,118.802422,32.064653
1000111,江苏省南京市信息工程大学-地铁站,118.727813,32.211326
1000112,江苏省南京市卸甲甸-地铁站,118.748737,32.213749
1000113,江苏省南京市大厂-地铁站,118.746646,32.234617
1000114,江苏省南京市葛塘-地铁站,118.755839,32.248047
1000115,江苏省南京市长芦-地铁站,118.819894,32.267066
1000116,江苏省南京市化工园-地铁站,118.792157,32.289882
1000117,江苏省南京市六合开发区-地铁站,118.827471,32.328666
1000118,江苏省南京市龙池-地铁站,118.822078,32.32989
1000119,江苏省南京市雄州-地铁站,118.855836,32.346046
1000120,江苏省南京市凤凰山公园-地铁站,118.849189,32.354473
1000121,江苏省南京市方州广场-地铁站,118.857414,32.364195
1000122,江苏省南京市沈桥-地铁站,118.87086,32.54928
1000123,江苏省南京市八百桥-地铁站,118.941406,32.422617
1000124,江苏省南京市金牛湖-地铁站,118.975402,32.4758
1000125,江苏省南京市翔宇路南-地铁站,118.827317,31.779149
1000126,江苏省南京市铜山-地铁站,117.17557,34.1861
1000127,江苏省南京市石湫-地铁站,118.913456,31.647038
1000128,江苏省南京市明觉-地铁站,118.802422,32.064653
1000129,江苏省南京市团结圩-地铁站,118.895937,31.402875
1000130,江苏省南京市高淳-地铁站,118.898498,31.333639
1000131,江苏省南京市安德门-地铁站,118.76374,31.999008
1000132,江苏省南京市小行-地铁站,118.756599,31.991706
1000133,江苏省南京市中胜-地铁站,118.742841,31.994912
1000134,江苏省南京市元通-地铁站,118.728968,32.002116
1000135,江苏省南京市奥体中心-地铁站,118.729296,32.01341
1000136,江苏省南京市梦都大街-地铁站,118.761014,32.004326
1000137,江苏省南京市绿博园-地铁站,118.716073,32.025645
1000138,江苏省南京市江心洲-地铁站,118.701935,32.01625
1000139,江苏省南京市临江·青奥体育公园-地铁站,118.671722,32.052229
1000140,江苏省南京市浦口万汇城-地铁站,118.663246,32.070376
1000141,江苏省南京市南京工业大学-地铁站,118.774373,32.080099
1000142,江苏省南京市龙华路-地铁站,118.641549,32.070324
1000143,江苏省南京市文德路-地铁站,118.804314,32.056767
1000144,江苏省南京市雨山路-地铁站,118.626591,32.062508
1000145,江苏省南京市南京南站-地铁站,118.804201,31.974141
1000146,江苏省南京市翠屏山-地铁站,118.792259,31.934324
1000147,江苏省南京市河海大学·佛城西路-地铁站,118.792333,31.920761
1000148,江苏省南京市吉印大道-地铁站,118.807495,31.897861
1000149,江苏省南京市正方中路-地铁站,118.789288,31.844356
1000150,江苏省南京市翔宇路北-地铁站,118.828127,31.797827
1000151,江苏省南京市翔宇路南-地铁站,118.827317,31.779149
1000152,江苏省南京市禄口机场-地铁站,118.802422,32.064653
1000153,江苏省南京市空港新城江宁-地铁站,118.894093,31.743628
1000154,江苏省南京市南京南站-地铁站,118.804201,31.974141
1000155,江苏省南京市景明佳园-地铁站,118.785849,31.972807
1000156,江苏省南京市铁心桥-地铁站,118.76806,31.96269
1000157,江苏省南京市春江路-地铁站,118.765488,31.969008
1000158,江苏省南京市贾西-地铁站,118.740106,31.971819
1000159,江苏省南京市油坊桥-地铁站,118.751526,31.667571
1000160,江苏省南京市永初路-地铁站,118.802422,32.064653
1000161,江苏省南京市平良大街-地铁站,118.71295,31.978698
1000162,江苏省南京市吴侯街-地铁站,118.70238,31.98198
1000163,江苏省南京市高庙路-地铁站,118.699427,31.9737
1000164,江苏省南京市天保-地铁站,118.802422,32.064653
1000165,江苏省南京市刘村-地铁站,118.887803,31.86196
1000166,江苏省南京市马骡圩-地铁站,118.802422,32.064653
1000167,江苏省南京市兰花塘-地铁站,118.802422,32.064653
1000168,江苏省南京市双城-地铁站,118.912429,31.914287
1000169,江苏省南京市石磧河-地铁站,118.802422,32.064653
1000170,江苏省南京市桥林新城-地铁站,118.802422,32.064653
1000171,江苏省南京市林山-地铁站,118.513491,31.891069
1000172,江苏省南京市高家冲-地铁站,118.802422,32.064653
1000173,江苏省南京市空港新城江宁-地铁站,118.912429,31.914287
